655cb33efc432b6a6fac86f6,sossegado,quiet,1200,3,0
655cb33efc432b6a6fac86f7,resolutas,resolutely,1200,4,0
655cb33efc432b6a6fac86f8,aliás,indeed,1200,5,0
655cb33efc432b6a6fac86f9,poltronas,armchairs,1200,6,0
655cb33efc432b6a6fac86fa,a fim,with the aim,1200,7,0
655cb33efc432b6a6fac86f4,queda,fall,1200,1,0
655cb33efc432b6a6fac86f5,adormecer,to fall asleep; fall asleep,1200,2,0
655cb33efc432b6a6fac86fd,desfrutar do luxo,to enjoy the luxury; enjoy the luxury,1200,10,0
655cb33efc432b6a6fac86fe,administrar,to manage; manage,1200,11,0
655cb33efc432b6a6fac86ff,o horário,the time,1200,12,0
655cb33efc432b6a6fac8700,ocidentalizados,westernized,1200,13,0
655cb33efc432b6a6fac8701,sesta,nap,1200,14,0
655cb33efc432b6a6fac8702,entrar em choque,to go into shock; go into shock,1200,15,0
655cb33efc432b6a6fac8703,desprezer,to despise; despise,1200,16,0
655cb33efc432b6a6fac8704,noitada,night out,1200,17,0
655cb33efc432b6a6fac8705,reinício,restart,1200,18,0
655cb33efc432b6a6fac8706,dando tudo de si,giving your all,1200,19,0
655cb33efc432b6a6fac8707,você se safou,you got away,1200,20,0
655cb33efc432b6a6fac8708,reprimido,repressed,1200,21,0
655cb33efc432b6a6fac8709,estalo,snap,1200,22,0
655cb33efc432b6a6fac86fb,providenciar,to arrange; arrange,1200,8,0
655cb33efc432b6a6fac870b,destravanquer,to unclutter; unclutter,1200,24,0
655cb33efc432b6a6fac870c,embriagado,drunk,1200,25,0
655cb33efc432b6a6fac870d,panturrilha,calf,1200,26,0
655cb33efc432b6a6fac86fc,sugeri,I suggested; i suggested,1200,9,0
655cb33efc432b6a6fac870f,educadamente,politely,1200,28,0
655cb33efc432b6a6fac8711,esbaforidos,breathless,1200,30,0
655cb33efc432b6a6fac8710,adotar,to adopt; adopt,1200,29,0
655cb33efc432b6a6fac8712,afiados,sharp,1200,31,0
655cb33efc432b6a6fac8714,enxotar,to rise; rise,1200,33,0
655cb33efc432b6a6fac8713,compromissos,appointments,1200,32,0
655cb33efc432b6a6fac8716,sutis,subtle,1200,35,0
655cb33efc432b6a6fac8715,truncado,truncated,1200,34,0
655cb33efc432b6a6fac8718,privando,depriving,1200,37,0
655cb33efc432b6a6fac8717,associar,to connect; connect,1200,36,0
655cb33efc432b6a6fac8719,funcionários,employees,1200,38,0
655cb33efc432b6a6fac871a,uma natação,a swim,1200,39,0
655cb33efc432b6a6fac871b,valorizar,to value; value,1200,40,0
655cb33efc432b6a6fac871c,demasiado,excessive,1200,41,0
655cb33efc432b6a6fac871d,combustível,fuel,1200,42,0
655cb33efc432b6a6fac871e,dentadas em uma torrada,bites of toast,1200,43,0
655cb33efc432b6a6fac871f,revirar os olhos,to roll the eyes; roll the eyes,1200,44,0
655cb33efc432b6a6fac8720,e assim por diante,and so on,1200,45,0
655cb33efc432b6a6fac8721,inundar,to flood; flood,1200,46,0
655cb33efc432b6a6fac8722,veneziana,shutter,1200,47,0
655cb33efc432b6a6fac870a,pairar,to hang; hang,1200,23,0
655cb33efc432b6a6fac8724,âncora,anchor,1200,49,0
655cb33efc432b6a6fac8725,esparadrapo,tape,1200,50,0
655cb33efc432b6a6fac8726,um passo além,one step further,1200,51,0
655cb33efc432b6a6fac8727,trajeto,path,1200,52,0
655cb33efc432b6a6fac8728,vias áreas,airways,1200,53,0
655cb33efc432b6a6fac870e,milésimos,thousandths,1200,27,0
655cb33efc432b6a6fac872a,espécie,species,1200,55,0
655cb33efc432b6a6fac872b,classificação,classification,1200,56,0
655cb33efc432b6a6fac872c,se deita,lay down,1200,57,0
655cb33efc432b6a6fac872d,alongamento,stretching,1200,58,0
655cb33efc432b6a6fac872e,ergométrica,ergometric,1200,59,0
655cb33efc432b6a6fac872f,saudação,salute,1200,60,0
655cb33efc432b6a6fac8730,ioga,yoga,1200,61,0
655cb33efc432b6a6fac8731,quarteirão,block,1200,62,0
655cb33efc432b6a6fac8732,adiante,forward,1200,63,0
655cb33efc432b6a6fac8733,rabiscando,scribbling,1200,64,0
655cb33efc432b6a6fac8734,afazeres,chores,1200,65,0
655cb33efc432b6a6fac8735,abordando,approaching,1200,66,0
655cb33efc432b6a6fac8737,digerir,to digest; digest,1200,68,0
655cb33efc432b6a6fac8736,há pouco,just,1200,67,0
655cb33efc432b6a6fac8738,devanear,to daydream; daydream,1200,69,0
655cb33efc432b6a6fac8739,compõem,compose,1200,70,0
655cb33efc432b6a6fac873a,equação,equation,1200,71,0
655cb33efc432b6a6fac873b,ruídos,noises,1200,72,0
655cb33efc432b6a6fac873c,pipocar,to pop; pop,1200,73,0
655cb33efc432b6a6fac873e,o que me resta fazer,what can I do,1200,75,0
655cb33efc432b6a6fac873d,desatravancar,to dismantle; dismantle,1200,74,0
655cb33efc432b6a6fac873f,ênfase,emphasis,1200,76,0
655cb33efc432b6a6fac8740,o abajur,the lamp,1200,77,0
655cb33efc432b6a6fac8741,se revirar,to turn around; turn around,1200,78,0
655cb33efc432b6a6fac8742,no cômodo,in the room,1200,79,0
655cb33efc432b6a6fac8743,que tal uma vela,how about a candle,1200,80,0
655cb33efc432b6a6fac8745,arrancá-lo,tear it,1200,82,0
